               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.092886,            0.061144,            0.063529,            0.011567,            0.017939,           0.0086461,           0.0024422,            0.090734,            0.050053,            0.068006,            0.033433,           0.0064328,           0.0064328
                  37,            0.085192,             0.06826,             0.06463,             0.27718,           0.0087851,           0.0047145,            0.002362,            0.089432,            0.056836,            0.068217,            0.031584,           0.0065842,           0.0065842
                  38,            0.086649,            0.060622,            0.063791,            0.069515,            0.017939,             0.01448,           0.0067076,            0.083524,            0.054902,            0.068007,            0.029734,           0.0067344,           0.0067344
                  39,            0.085359,            0.061982,            0.063119,              0.1171,            0.010962,           0.0055705,           0.0023605,            0.092154,            0.059613,            0.068251,            0.027883,           0.0068833,           0.0068833
                  40,            0.086547,             0.05363,            0.062555,            0.013484,            0.022724,            0.014546,           0.0072305,            0.081773,            0.052595,            0.067507,            0.026031,           0.0070308,           0.0070308
                  41,            0.085639,            0.067331,            0.063851,            0.012488,            0.021471,            0.010212,           0.0039013,             0.08707,             0.06009,             0.06763,            0.024177,            0.007177,            0.007177
                  42,            0.085382,            0.057611,            0.063182,            0.014182,            0.022724,            0.013006,           0.0048445,            0.083519,             0.05043,            0.067065,            0.022322,           0.0073219,           0.0073219
                  43,             0.08284,            0.061788,            0.063749,            0.010995,            0.018863,             0.01297,           0.0062105,            0.084231,            0.057141,             0.06717,            0.020465,           0.0074655,           0.0074655
                  44,             0.08486,            0.057687,            0.063074,            0.010395,            0.042424,            0.013835,           0.0045243,            0.084281,            0.049521,            0.066671,            0.018608,           0.0076077,           0.0076077
                  45,            0.080069,            0.055268,            0.064056,            0.013844,            0.048999,            0.013671,           0.0043496,            0.084113,            0.048505,            0.066554,            0.016749,           0.0077486,           0.0077486
                  46,            0.084239,            0.053157,            0.062013,            0.010678,            0.017939,            0.011331,           0.0049416,            0.083381,            0.051531,            0.066508,            0.014888,           0.0078883,           0.0078883
                  47,            0.080361,            0.060204,             0.06325,            0.013463,            0.039339,             0.01354,            0.004513,            0.083971,            0.052713,            0.066571,            0.013027,           0.0080266,           0.0080266
                  48,            0.083689,            0.062528,            0.061522,            0.061005,            0.016271,           0.0081885,           0.0020991,            0.087533,            0.058345,            0.066463,            0.011164,           0.0081635,           0.0081635
                  49,            0.081893,            0.059986,            0.061298,             0.01789,            0.044717,            0.021496,           0.0067915,             0.07855,            0.051569,            0.065997,           0.0092992,           0.0082992,           0.0082992
                  50,             0.07975,            0.060377,            0.061543,             0.01989,            0.017939,            0.013596,           0.0025466,            0.087743,            0.056221,              0.0661,             0.00835,             0.00835,             0.00835
                  51,            0.082102,            0.055113,            0.060944,             0.59228,            0.061307,            0.016093,           0.0057466,            0.075698,            0.049031,             0.06565,             0.00835,             0.00835,             0.00835
                  52,            0.078727,            0.061843,            0.062313,            0.017817,            0.022724,            0.015858,           0.0045034,            0.080578,            0.062759,            0.066187,            0.008317,            0.008317,            0.008317
                  53,            0.077679,            0.052947,            0.062109,            0.013867,            0.038416,            0.014506,           0.0055171,            0.080486,            0.052318,            0.065798,            0.008284,            0.008284,            0.008284
                  54,            0.077313,            0.055878,            0.062906,            0.015658,             0.07702,            0.017812,           0.0077237,            0.079736,            0.052219,            0.065577,            0.008251,            0.008251,            0.008251
                  55,            0.075792,            0.051317,            0.061925,            0.016054,            0.054237,            0.020443,           0.0060355,            0.077619,            0.058761,            0.065672,            0.008218,            0.008218,            0.008218
                  56,            0.080048,            0.056835,            0.062296,            0.014334,            0.062689,            0.015882,           0.0064329,            0.084036,            0.051941,            0.065287,            0.008185,            0.008185,            0.008185
                  57,            0.076945,             0.06133,            0.061666,             0.41908,            0.018376,            0.017196,           0.0080304,            0.075539,            0.058939,            0.065304,            0.008152,            0.008152,            0.008152
                  58,             0.07381,            0.060356,            0.060588,            0.027771,            0.058783,            0.023406,           0.0054139,            0.078192,            0.057453,            0.065431,            0.008119,            0.008119,            0.008119
                  59,            0.075769,            0.057078,            0.060537,            0.022901,            0.057266,             0.02467,           0.0088768,             0.07913,            0.054905,            0.065037,            0.008086,            0.008086,            0.008086
                  60,            0.074918,            0.060823,            0.061065,             0.54391,            0.051044,            0.021615,           0.0071864,              0.0792,            0.056065,            0.064956,            0.008053,            0.008053,            0.008053
                  61,            0.074277,            0.049674,            0.060609,             0.49039,             0.17021,            0.081089,            0.025449,            0.075533,            0.047208,            0.064557,             0.00802,             0.00802,             0.00802
                  62,            0.074806,            0.052924,             0.06195,             0.59641,             0.06962,            0.023635,           0.0085611,            0.076807,            0.051804,            0.064675,            0.007987,            0.007987,            0.007987
                  63,            0.071978,            0.057689,            0.061476,             0.60641,            0.048504,            0.025485,           0.0099558,            0.078661,            0.055512,            0.064784,            0.007954,            0.007954,            0.007954
                  64,            0.073612,            0.048847,            0.061979,             0.44178,            0.067381,            0.018758,           0.0073813,            0.073998,            0.048623,            0.064519,            0.007921,            0.007921,            0.007921
                  65,            0.070044,            0.049009,            0.061324,             0.50008,            0.094938,            0.035192,            0.010692,            0.075475,            0.054598,            0.064804,            0.007888,            0.007888,            0.007888
                  66,            0.072948,            0.049876,            0.060216,             0.53606,             0.16397,            0.061963,            0.021269,            0.077156,            0.049433,            0.064361,            0.007855,            0.007855,            0.007855
                  67,            0.068788,            0.051388,            0.061502,              0.5568,             0.15716,            0.085638,            0.027013,            0.074478,            0.050459,             0.06445,            0.007822,            0.007822,            0.007822
                  68,            0.071223,            0.057486,            0.060558,             0.57183,            0.057813,            0.036779,             0.01474,            0.073397,              0.0516,            0.064247,            0.007789,            0.007789,            0.007789
                  69,            0.072537,            0.049766,            0.059943,             0.47734,             0.18074,            0.056044,            0.017269,            0.078501,            0.048396,             0.06406,            0.007756,            0.007756,            0.007756
                  70,            0.071784,             0.06453,            0.059974,             0.62276,            0.060906,            0.028063,            0.012409,            0.072439,            0.057066,            0.064297,            0.007723,            0.007723,            0.007723
                  71,            0.067996,            0.051277,            0.058989,             0.51775,             0.15709,            0.094975,            0.027513,            0.072854,             0.04909,            0.063979,             0.00769,             0.00769,             0.00769
                  72,            0.066567,            0.049545,            0.060257,             0.65059,            0.051706,             0.03322,            0.015118,            0.074413,            0.051654,            0.064061,            0.007657,            0.007657,            0.007657
